date,value
1948-01-01,167600
1948-02-01,207800
1948-03-01,202700
1948-04-01,212000
1948-05-01,241100
1948-06-01,220100
1948-07-01,195500
1948-08-01,203500
1948-09-01,219600
1948-10-01,204800
1948-11-01,212400
1948-12-01,235800
1949-01-01,287600
1949-02-01,307000
1949-03-01,335700
1949-04-01,382200
1949-05-01,379400
1949-06-01,361200
1949-07-01,342200
1949-08-01,388000
1949-09-01,322200
1949-10-01,388800
1949-11-01,346600
1949-12-01,300300
1950-01-01,295800
1950-02-01,290300
1950-03-01,278100
1950-04-01,264900
1950-05-01,251600
1950-06-01,253400
1950-07-01,224800
1950-08-01,171200
1950-09-01,182900
1950-10-01,195000
1950-11-01,201800
1950-12-01,198600
1951-01-01,175300
1951-02-01,182800
1951-03-01,167300
1951-04-01,200700
1951-05-01,200200
1951-06-01,210300
1951-07-01,238000
1951-08-01,255600
1951-09-01,243700
1951-10-01,235200
1951-11-01,211800
1951-12-01,215000
1952-01-01,222800
1952-02-01,202200
1952-03-01,210800
1952-04-01,220300
1952-05-01,214300
1952-06-01,243500
1952-07-01,317200
1952-08-01,208100
1952-09-01,169400
1952-10-01,175900
1952-11-01,170500
1952-12-01,191900
1953-01-01,176300
1953-02-01,178500
1953-03-01,189800
1953-04-01,180500
1953-05-01,199500
1953-06-01,196100
1953-07-01,208100
1953-08-01,230200
1953-09-01,240200
1953-10-01,252400
1953-11-01,300100
1953-12-01,281700
1954-01-01,305400
1954-02-01,320700
1954-03-01,321900
1954-04-01,315500
1954-05-01,315600
1954-06-01,316100
1954-07-01,295700
1954-08-01,321100
1954-09-01,324300
1954-10-01,316800
1954-11-01,277700
1954-12-01,254600
1955-01-01,258000
1955-02-01,241300
1955-03-01,229600
1955-04-01,229600
1955-05-01,224000
1955-06-01,223800
1955-07-01,224200
1955-08-01,235000
1955-09-01,205200
1955-10-01,225800
1955-11-01,216900
1955-12-01,215700
1956-01-01,219100
1956-02-01,227800
1956-03-01,222500
1956-04-01,224500
1956-05-01,237700
1956-06-01,229100
1956-07-01,246900
1956-08-01,225500
1956-09-01,238000
1956-10-01,215600
1956-11-01,224900
1956-12-01,231300
1957-01-01,244000
1957-02-01,226300
1957-03-01,221100
1957-04-01,241100
1957-05-01,245600
1957-06-01,247600
1957-07-01,268800
1957-08-01,236500
1957-09-01,307500
1957-10-01,303700
1957-11-01,322800
1957-12-01,357700
1958-01-01,356500
1958-02-01,409600
1958-03-01,439100
1958-04-01,441100
1958-05-01,403100
1958-06-01,412800
1958-07-01,352200
1958-08-01,365900
1958-09-01,340400
1958-10-01,316700
1958-11-01,313600
1958-12-01,322500
1959-01-01,294100
1959-02-01,286200
1959-03-01,259700
1959-04-01,246100
1959-05-01,248000
1959-06-01,259400
1959-07-01,265500
1959-08-01,293500
1959-09-01,273000
1959-10-01,313100
1959-11-01,353600
1959-12-01,277200
1960-01-01,282600
1960-02-01,272600
1960-03-01,305300
1960-04-01,296000
1960-05-01,318100
1960-06-01,323800
1960-07-01,337700
1960-08-01,366100
1960-09-01,353800
1960-10-01,375700
1960-11-01,387600
1960-12-01,383900
1961-01-01,396000
1961-02-01,432600
1961-03-01,381500
1961-04-01,383800
1961-05-01,360500
1961-06-01,336200
1961-07-01,350900
1961-08-01,318000
1961-09-01,331800
1961-10-01,306400
1961-11-01,306800
1961-12-01,298500
1962-01-01,302900
1962-02-01,297400
1962-03-01,289300
1962-04-01,285200
1962-05-01,302800
1962-06-01,306200
1962-07-01,305200
1962-08-01,307300
1962-09-01,302400
1962-10-01,306500
1962-11-01,301300
1962-12-01,312000
1963-01-01,311900
1963-02-01,303100
1963-03-01,289600
