date,value
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,
1950-02-01,
1950-03-01,
1950-04-01,
1950-05-01,
1950-06-01,
1950-07-01,
1950-08-01,
1950-09-01,
1950-10-01,
1950-11-01,
1950-12-01,
1951-01-01,
1951-02-01,
1951-03-01,
1951-04-01,
1951-05-01,
1951-06-01,
1951-07-01,
1951-08-01,
1951-09-01,
1951-10-01,
1951-11-01,
1951-12-01,
1952-01-01,
1952-02-01,
1952-03-01,
1952-04-01,
1952-05-01,
1952-06-01,
1952-07-01,
1952-08-01,
1952-09-01,
1952-10-01,
1952-11-01,
1952-12-01,
1953-01-01,
1953-02-01,
1953-03-01,
1953-04-01,
1953-05-01,
1953-06-01,
1953-07-01,
1953-08-01,
1953-09-01,
1953-10-01,
1953-11-01,
1953-12-01,
1954-01-01,1314
1954-02-01,1294
1954-03-01,1364
1954-04-01,1378
1954-05-01,1403
1954-06-01,1507
1954-07-01,1545
1954-08-01,1533
1954-09-01,1572
1954-10-01,1626
1954-11-01,1752
1954-12-01,1702
1955-01-01,1759
1955-02-01,1946
1955-03-01,1667
1955-04-01,1713
1955-05-01,1723
1955-06-01,1626
1955-07-01,1632
1955-08-01,1576
1955-09-01,1552
1955-10-01,1519
1955-11-01,1386
1955-12-01,1380
1956-01-01,1416
1956-02-01,1376
1956-03-01,1416
1956-04-01,1411
1956-05-01,1314
1956-06-01,1290
1956-07-01,1281
1956-08-01,1251
1956-09-01,1218
1956-10-01,1201
1956-11-01,1208
1956-12-01,1197
1957-01-01,1115
1957-02-01,1172
1957-03-01,1182
1957-04-01,1117
1957-05-01,1167
1957-06-01,1192
1957-07-01,1111
1957-08-01,1187
1957-09-01,1191
1957-10-01,1175
1957-11-01,1141
1957-12-01,1150
1958-01-01,1180
1958-02-01,1015
1958-03-01,1125
1958-04-01,1185
1958-05-01,1240
1958-06-01,1324
1958-07-01,1442
1958-08-01,1440
1958-09-01,1476
1958-10-01,1523
1958-11-01,1729
1958-12-01,1494
1959-01-01,1478
1959-02-01,1542
1959-03-01,1611
1959-04-01,1539
1959-05-01,1513
1959-06-01,1490
1959-07-01,1452
1959-08-01,1465
1959-09-01,1411
1959-10-01,1358
1959-11-01,1298
1959-12-01,1394
1960-01-01,1325
1960-02-01,1319
1960-03-01,1158
1960-04-01,1232
1960-05-01,1276
1960-06-01,1161
1960-07-01,1211
1960-08-01,1205
1960-09-01,1194
1960-10-01,1179
1960-11-01,1187
1960-12-01,1151
1961-01-01,1176
1961-02-01,1166
1961-03-01,1212
1961-04-01,1214
1961-05-01,1246
1961-06-01,1297
1961-07-01,1313
1961-08-01,1405
1961-09-01,1331
1961-10-01,1361
1961-11-01,1396
1961-12-01,1408
1962-01-01,1360
1962-02-01,1447
1962-03-01,1375
1962-04-01,1498
1962-05-01,1384
1962-06-01,1398
1962-07-01,1442
1962-08-01,1455
1962-09-01,1481
1962-10-01,1432
1962-11-01,1499
1962-12-01,1499
1963-01-01,1457
1963-02-01,1415
1963-03-01,1468
1963-04-01,1504
1963-05-01,1576
1963-06-01,1571
1963-07-01,1542
1963-08-01,1529
1963-09-01,1650
1963-10-01,1652
1963-11-01,1585
1963-12-01,1661
1964-01-01,1513
1964-02-01,1684
1964-03-01,1532
1964-04-01,1475
1964-05-01,1516
1964-06-01,1494
1964-07-01,1522
1964-08-01,1525
1964-09-01,1476
1964-10-01,1437
1964-11-01,1463
1964-12-01,1358
1965-01-01,1475
1965-02-01,1383
1965-03-01,1414
1965-04-01,1356
1965-05-01,1409
1965-06-01,1448
1965-07-01,1444
1965-08-01,1458
1965-09-01,1432
1965-10-01,1493
1965-11-01,1525
1965-12-01,1535
1966-01-01,1546
1966-02-01,1353
1966-03-01,1441
1966-04-01,1337
1966-05-01,1259
1966-06-01,1116
1966-07-01,1089
1966-08-01,1024
1966-09-01,905
1966-10-01,862
1966-11-01,859
1966-12-01,867
1967-01-01,1125
1967-02-01,1025
1967-03-01,1078
1967-04-01,1171
1967-05-01,1215
1967-06-01,1321
1967-07-01,1330
1967-08-01,1389
1967-09-01,1445
1967-10-01,1446
1967-11-01,1465
1967-12-01,1486
1968-01-01,1332
1968-02-01,1516
1968-03-01,1547
1968-04-01,1454
1968-05-01,1465
1968-06-01,1469
1968-07-01,1519
1968-08-01,1533
1968-09-01,1655
1968-10-01,1606
1968-11-01,1622
1968-12-01,1571
1969-01-01,1649
1969-02-01,1689
1969-03-01,1624
1969-04-01,1627
1969-05-01,1502
1969-06-01,1525
1969-07-01,1444
1969-08-01,1489
1969-09-01,1427
1969-10-01,1374
1969-11-01,1346
1969-12-01,1306
1970-01-01,1200
1970-02-01,1263
1970-03-01,1279
1970-04-01,1383
1970-05-01,1502
1970-06-01,1494
1970-07-01,1497
1970-08-01,1576
1970-09-01,1611
1970-10-01,1768
1970-11-01,1697
1970-12-01,1996
1971-01-01,1857
1971-02-01,1794
1971-03-01,1988
1971-04-01,1973
1971-05-01,2229
1971-06-01,2151
1971-07-01,2338
1971-08-01,2265
1971-09-01,2255
1971-10-01,2289
1971-11-01,2349
1971-12-01,2410
1972-01-01,2487
1972-02-01,2410
1972-03-01,2339
1972-04-01,2377
1972-05-01,2297
1972-06-01,2425
1972-07-01,2438
1972-08-01,2514
1972-09-01,2658
1972-10-01,2616
1972-11-01,2483
1972-12-01,2688
