date,value
1948-01-01,12.8964
1948-02-01,12.8964
1948-03-01,12.8724
1948-04-01,12.8484
1948-05-01,12.9925
1948-06-01,13.1126
1948-07-01,13.1366
1948-08-01,13.0886
1948-09-01,12.9685
1948-10-01,13.0645
1948-11-01,12.8964
1948-12-01,12.8004
1949-01-01,12.6323
1949-02-01,12.5122
1949-03-01,12.3921
1949-04-01,12.1519
1949-05-01,12.0319
1949-06-01,12.0559
1949-07-01,12.1039
1949-08-01,12.224
1949-09-01,12.4642
1949-10-01,11.9838
1949-11-01,12.0799
1949-12-01,12.3921
1950-01-01,12.6563
1950-02-01,12.7764
1950-03-01,12.9925
1950-04-01,13.5208
1950-05-01,13.8811
1950-06-01,14.2893
1950-07-01,14.7456
1950-08-01,15.298
1950-09-01,15.1539
1950-10-01,15.25
1950-11-01,15.226
1950-12-01,15.4661
1951-01-01,15.5622
1951-02-01,15.6102
1951-03-01,15.6823
1951-04-01,15.7063
1951-05-01,15.6102
1951-06-01,15.5381
1951-07-01,15.274
1951-08-01,15.1059
1951-09-01,15.1779
1951-10-01,15.1059
1951-11-01,15.25
1951-12-01,15.37
1952-01-01,15.5141
1952-02-01,15.6102
1952-03-01,15.6823
1952-04-01,15.5382
1952-05-01,15.5141
1952-06-01,15.346
1952-07-01,15.0098
1952-08-01,16.0665
1952-09-01,16.6189
1952-10-01,16.883
1952-11-01,17.2193
1952-12-01,17.3393
1953-01-01,17.4114
1953-02-01,17.5795
1953-03-01,17.6996
1953-04-01,17.7716
1953-05-01,17.8677
1953-06-01,17.7236
1953-07-01,17.8437
1953-08-01,17.8196
1953-09-01,17.4354
1953-10-01,17.2673
1953-11-01,16.835
1953-12-01,16.4027
1954-01-01,16.2586
1954-02-01,16.2106
1954-03-01,16.1385
1954-04-01,16.0185
1954-05-01,16.1385
1954-06-01,16.2106
1954-07-01,16.1626
1954-08-01,16.0905
1954-09-01,16.2106
1954-10-01,16.3787
1954-11-01,16.6669
1954-12-01,16.907
1955-01-01,17.3153
1955-02-01,17.5074
1955-03-01,17.9157
1955-04-01,18.1799
1955-05-01,18.4921
1955-06-01,18.5161
1955-07-01,18.5881
1955-08-01,18.5881
1955-09-01,18.6842
1955-10-01,18.9484
1955-11-01,18.9964
1955-12-01,19.2366
1956-01-01,19.1405
1956-02-01,19.0444
1956-03-01,19.0204
1956-04-01,19.2846
