date,value
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,
1950-02-01,
1950-03-01,
1950-04-01,
1950-05-01,
1950-06-01,
1950-07-01,
1950-08-01,
1950-09-01,
1950-10-01,
1950-11-01,
1950-12-01,
1951-01-01,
1951-02-01,
1951-03-01,
1951-04-01,
1951-05-01,
1951-06-01,
1951-07-01,
1951-08-01,
1951-09-01,
1951-10-01,
1951-11-01,
1951-12-01,
1952-01-01,
1952-02-01,
1952-03-01,
1952-04-01,
1952-05-01,
1952-06-01,
1952-07-01,
1952-08-01,
1952-09-01,
1952-10-01,
1952-11-01,
1952-12-01,
1953-01-01,
1953-02-01,
1953-03-01,
1953-04-01,
1953-05-01,
1953-06-01,
1953-07-01,
1953-08-01,
1953-09-01,
1953-10-01,
1953-11-01,
1953-12-01,
1954-01-01,
1954-02-01,
1954-03-01,
1954-04-01,
1954-05-01,
1954-06-01,
1954-07-01,
1954-08-01,
1954-09-01,
1954-10-01,
1954-11-01,
1954-12-01,
1955-01-01,
1955-02-01,
1955-03-01,
1955-04-01,
1955-05-01,
1955-06-01,
1955-07-01,
1955-08-01,
1955-09-01,
1955-10-01,
1955-11-01,
1955-12-01,
1956-01-01,
1956-02-01,
1956-03-01,
1956-04-01,
1956-05-01,
1956-06-01,
1956-07-01,
1956-08-01,
1956-09-01,
1956-10-01,
1956-11-01,
1956-12-01,
1957-01-01,
1957-02-01,
1957-03-01,
1957-04-01,
1957-05-01,
1957-06-01,
1957-07-01,
1957-08-01,
1957-09-01,
1957-10-01,
1957-11-01,
1957-12-01,
1958-01-01,
1958-02-01,
1958-03-01,
1958-04-01,
1958-05-01,
1958-06-01,
1958-07-01,
1958-08-01,
1958-09-01,
1958-10-01,
1958-11-01,
1958-12-01,
1959-01-01,8547.1264
1959-02-01,9014.9499
1959-03-01,9176.3177
1959-04-01,9101.0008
1959-05-01,8918.5228
1959-06-01,8931.7614
1959-07-01,8792.7561
1959-08-01,8416.7083
1959-09-01,8407.2266
1959-10-01,8387.7265
1959-11-01,8207.5742
1959-12-01,8819.5911
1960-01-01,8651.9618
1960-02-01,8522.0804
1960-03-01,8367.5108
1960-04-01,8425.6533
1960-05-01,8331.373
1960-06-01,8403.6486
1960-07-01,8370.5521
1960-08-01,8600.2597
1960-09-01,8585.5899
1960-10-01,8434.5983
1960-11-01,8337.4556
1960-12-01,8222.9596
1961-01-01,7927.059
1961-02-01,7928.1324
1961-03-01,8433.346
1961-04-01,8562.8696
1961-05-01,8701.5171
1961-06-01,8936.4128
1961-07-01,8670.5674
1961-08-01,9156.2809
1961-09-01,9065.3997
1961-10-01,9117.2807
1961-11-01,9510.1451
1961-12-01,9686.7194
1962-01-01,9601.7419
1962-02-01,9495.1175
1962-03-01,9442.342
1962-04-01,9188.8407
1962-05-01,9355.3966
1962-06-01,9219.0748
1962-07-01,9474.9018
1962-08-01,9518.0167
1962-09-01,9549.3242
1962-10-01,9697.8112
1962-11-01,9725.004
1962-12-01,9509.4295
1963-01-01,9761.3207
1963-02-01,10040.5836
1963-03-01,10151.5016
1963-04-01,10444.5398
1963-05-01,10243.814
1963-06-01,10116.9739
1963-07-01,10449.0123
1963-08-01,9976.1796
1963-09-01,10182.988
1963-10-01,10495.3474
1963-11-01,10449.1912
1963-12-01,10588.3754
1964-01-01,10813.2527
1964-02-01,10658.862
1964-03-01,10649.7381
1964-04-01,11079.6348
1964-05-01,10936.5148
1964-06-01,10953.5103
1964-07-01,11296.4616
1964-08-01,10983.3866
1964-09-01,11512.9306
1964-10-01,11020.24
1964-11-01,11249.5898
1964-12-01,11657.6607
1965-01-01,11768.3998
1965-02-01,11797.0238
1965-03-01,11964.4742
1965-04-01,11987.5523
1965-05-01,11932.2722
1965-06-01,12012.4194
1965-07-01,12283.274
1965-08-01,12294.3658
1965-09-01,11692.5462
1965-10-01,12101.8694
1965-11-01,12521.7477
1965-12-01,12770.4187
1966-01-01,12702.0789
1966-02-01,12872.9284
1966-03-01,13331.8069
1966-04-01,13042.1678
1966-05-01,12908.5295
1966-06-01,12978.4794
1966-07-01,12738.7534
1966-08-01,12741.7947
1966-09-01,12966.672
1966-10-01,13002.452
1966-11-01,12710.4872
1966-12-01,12633.2024
1967-01-01,12570.7663
1967-02-01,12497.4173
1967-03-01,12408.504
1967-04-01,12541.4267
1967-05-01,12619.4271
1967-06-01,12722.2946
1967-07-01,12669.1613
1967-08-01,13215.1641
1967-09-01,12790.9922
1967-10-01,12643.7575
1967-11-01,13053.0807
1967-12-01,13739.6989
1968-01-01,13505.5188
1968-02-01,13314.8114
1968-03-01,13289.5865
1968-04-01,13268.6552
1968-05-01,13528.5969
1968-06-01,13629.3176
1968-07-01,13488.3444
1968-08-01,12943.0572
1968-09-01,14002.3241
1968-10-01,14170.669
1968-11-01,14220.4032
1968-12-01,14013.5948
1969-01-01,14066.907
1969-02-01,14054.384
1969-03-01,14029.6958
1969-04-01,14028.8013
1969-05-01,14020.5719
1969-06-01,14029.1591
1969-07-01,14163.1552
1969-08-01,14113.9577
1969-09-01,14368.1746
1969-10-01,14343.8442
1969-11-01,13789.9698
1969-12-01,13785.4973
1970-01-01,13260.068
1970-02-01,13129.2921
1970-03-01,13069.5395
1970-04-01,12931.6076
1970-05-01,13073.1175
1970-06-01,13366.6924
1970-07-01,13142.8885
