date,value
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,
1950-02-01,
1950-03-01,
1950-04-01,
1950-05-01,
1950-06-01,
1950-07-01,
1950-08-01,
1950-09-01,
1950-10-01,
1950-11-01,
1950-12-01,
1951-01-01,
1951-02-01,
1951-03-01,
1951-04-01,
1951-05-01,
1951-06-01,
1951-07-01,
1951-08-01,
1951-09-01,
1951-10-01,
1951-11-01,
1951-12-01,
1952-01-01,
1952-02-01,
1952-03-01,
1952-04-01,
1952-05-01,
1952-06-01,
1952-07-01,
1952-08-01,
1952-09-01,
1952-10-01,
1952-11-01,
1952-12-01,
1953-01-01,
1953-02-01,
1953-03-01,
1953-04-01,
1953-05-01,
1953-06-01,
1953-07-01,
1953-08-01,
1953-09-01,
1953-10-01,
1953-11-01,
1953-12-01,
1954-01-01,
1954-02-01,
1954-03-01,
1954-04-01,
1954-05-01,
1954-06-01,
1954-07-01,
1954-08-01,
1954-09-01,
1954-10-01,
1954-11-01,
1954-12-01,
1955-01-01,
1955-02-01,
1955-03-01,
1955-04-01,
1955-05-01,
1955-06-01,
1955-07-01,
1955-08-01,
1955-09-01,
1955-10-01,
1955-11-01,
1955-12-01,
1956-01-01,
1956-02-01,
1956-03-01,
1956-04-01,
1956-05-01,
1956-06-01,
1956-07-01,
1956-08-01,
1956-09-01,
1956-10-01,
1956-11-01,
1956-12-01,
1957-01-01,
1957-02-01,
1957-03-01,
1957-04-01,
1957-05-01,
1957-06-01,
1957-07-01,
1957-08-01,
1957-09-01,
1957-10-01,
1957-11-01,
1957-12-01,
1958-01-01,
1958-02-01,
1958-03-01,
1958-04-01,
1958-05-01,
1958-06-01,
1958-07-01,
1958-08-01,
1958-09-01,
1958-10-01,
1958-11-01,
1958-12-01,
1959-01-01,227375
1959-02-01,230589
1959-03-01,233482
1959-04-01,236302
1959-05-01,239512
1959-06-01,240282
1959-07-01,238624
1959-08-01,233544
1959-09-01,233019
1959-10-01,233205
1959-11-01,232928
1959-12-01,240250
1960-01-01,243384
1960-02-01,241826
1960-03-01,239682
1960-04-01,241252
1960-05-01,236766
1960-06-01,237230
1960-07-01,235753
1960-08-01,235818
1960-09-01,238014
1960-10-01,236462
1960-11-01,234960
1960-12-01,234255
1961-01-01,228357
1961-02-01,229671
1961-03-01,233299
1961-04-01,232857
1961-05-01,235594
1961-06-01,239942
1961-07-01,238104
1961-08-01,243546
1961-09-01,245208
1961-10-01,247527
1961-11-01,250971
1961-12-01,252247
1962-01-01,252187
1962-02-01,251793
1962-03-01,255657
1962-04-01,255907
1962-05-01,256332
1962-06-01,255876
1962-07-01,256154
1962-08-01,257378
1962-09-01,258047
1962-10-01,259762
1962-11-01,263660
1962-12-01,259254
1963-01-01,260855
1963-02-01,265735
1963-03-01,266698
1963-04-01,269425
1963-05-01,267414
1963-06-01,270611
1963-07-01,273718
1963-08-01,270691
1963-09-01,271765
1963-10-01,275283
1963-11-01,273284
1963-12-01,277672
1964-01-01,280443
1964-02-01,281243
1964-03-01,279437
1964-04-01,283760
1964-05-01,287009
1964-06-01,286265
1964-07-01,289019
1964-08-01,288351
1964-09-01,292542
1964-10-01,287642
1964-11-01,290430
1964-12-01,299531
1965-01-01,299955
1965-02-01,299123
1965-03-01,305881
1965-04-01,306898
1965-05-01,304883
1965-06-01,304594
1965-07-01,309387
1965-08-01,309696
1965-09-01,305649
1965-10-01,313819
1965-11-01,318329
1965-12-01,320405
1966-01-01,323949
1966-02-01,323574
1966-03-01,329478
1966-04-01,327161
1966-05-01,323992
1966-06-01,328670
1966-07-01,324599
1966-08-01,326675
1966-09-01,328448
1966-10-01,330270
1966-11-01,328029
1966-12-01,330865
1967-01-01,364393.989
1967-02-01,362995.316
1967-03-01,365624.437
1967-04-01,365385.317
1967-05-01,365086.116
1967-06-01,367798.148
1967-07-01,365421.365
1967-08-01,370329.939
1967-09-01,371637.29
1967-10-01,369058.636
1967-11-01,378999.549
1967-12-01,387426.434
1968-01-01,383540.43
1968-02-01,382331.611
1968-03-01,385177.022
1968-04-01,384412.798
1968-05-01,387106.806
1968-06-01,389844.072
1968-07-01,393564.254
1968-08-01,386854.468
1968-09-01,392268.919
1968-10-01,397581.233
1968-11-01,401009.424
1968-12-01,397290.444
1969-01-01,397300.057
1969-02-01,397918.885
1969-03-01,399382.445
1969-04-01,401109.158
1969-05-01,400832.788
1969-06-01,400603.28
1969-07-01,400716.232
1969-08-01,405063.654
1969-09-01,407018.672
1969-10-01,411726.576
1969-11-01,406026.142
1969-12-01,405277.54
1970-01-01,400169.499
1970-02-01,400525.176
1970-03-01,395844.908
1970-04-01,393844.229
1970-05-01,398121.957
1970-06-01,399716.493
1970-07-01,400143.064
1970-08-01,399958.016
1970-09-01,399263.486
1970-10-01,395109.523
1970-11-01,388477.842
1970-12-01,400806.352
1971-01-01,404733.211
1971-02-01,406993.438
1971-03-01,408681.699
1971-04-01,410904.676
1971-05-01,412911.363
1971-06-01,418581.757
1971-07-01,413760.901
1971-08-01,416361.183
1971-09-01,420110.204
1971-10-01,420400.993
1971-11-01,427508.511
1971-12-01,431500.257
1972-01-01,436061.565
1972-02-01,431354.862
1972-03-01,439346.765
1972-04-01,442331.562
1972-05-01,445055.61
1972-06-01,446997.41
1972-07-01,444221.693
1972-08-01,454870.354
1972-09-01,462692.829
