date,value
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,
1950-02-01,
1950-03-01,
1950-04-01,
1950-05-01,
1950-06-01,
1950-07-01,
1950-08-01,
1950-09-01,
1950-10-01,
1950-11-01,
1950-12-01,
1951-01-01,
1951-02-01,
1951-03-01,
1951-04-01,
1951-05-01,
1951-06-01,
1951-07-01,
1951-08-01,
1951-09-01,
1951-10-01,
1951-11-01,
1951-12-01,
1952-01-01,
1952-02-01,
1952-03-01,
1952-04-01,
1952-05-01,
1952-06-01,
1952-07-01,
1952-08-01,
1952-09-01,
1952-10-01,
1952-11-01,
1952-12-01,
1953-01-01,
1953-02-01,
1953-03-01,
1953-04-01,
1953-05-01,
1953-06-01,
1953-07-01,
1953-08-01,
1953-09-01,
1953-10-01,
1953-11-01,
1953-12-01,
1954-01-01,
1954-02-01,
1954-03-01,
1954-04-01,
1954-05-01,
1954-06-01,
1954-07-01,
1954-08-01,
1954-09-01,
1954-10-01,
1954-11-01,
1954-12-01,
1955-01-01,
1955-02-01,
1955-03-01,
1955-04-01,
1955-05-01,
1955-06-01,
1955-07-01,
1955-08-01,
1955-09-01,
1955-10-01,
1955-11-01,
1955-12-01,
1956-01-01,
1956-02-01,
1956-03-01,
1956-04-01,
1956-05-01,
1956-06-01,
1956-07-01,
1956-08-01,
1956-09-01,
1956-10-01,
1956-11-01,
1956-12-01,
1957-01-01,
1957-02-01,
1957-03-01,
1957-04-01,
1957-05-01,
1957-06-01,
1957-07-01,
1957-08-01,
1957-09-01,
1957-10-01,
1957-11-01,
1957-12-01,
1958-01-01,
1958-02-01,
1958-03-01,
1958-04-01,
1958-05-01,
1958-06-01,
1958-07-01,
1958-08-01,
1958-09-01,
1958-10-01,
1958-11-01,
1958-12-01,
1959-01-01,8208
1959-02-01,9786
1959-03-01,11056
1959-04-01,10032
1959-05-01,10512
1959-06-01,10706
1959-07-01,10861
1959-08-01,10004
1959-09-01,10861
1959-10-01,10495
1959-11-01,9867
1959-12-01,10659
1960-01-01,9800
1960-02-01,10114
1960-03-01,9955
1960-04-01,10382
1960-05-01,10383
1960-06-01,10300
1960-07-01,9955
1960-08-01,9937
1960-09-01,9918
1960-10-01,9653
1960-11-01,9336
1960-12-01,10260
1961-01-01,9791
1961-02-01,9852
1961-03-01,9861
1961-04-01,9764
1961-05-01,9512
1961-06-01,10059
1961-07-01,10524
1961-08-01,11019
1961-09-01,10402
1961-10-01,10512
1961-11-01,10867
1961-12-01,10308
1962-01-01,10910
1962-02-01,11653
1962-03-01,10404
1962-04-01,11395
1962-05-01,10762
1962-06-01,10598
1962-07-01,10683
1962-08-01,10662
1962-09-01,10913
1962-10-01,11086
1962-11-01,11895
1962-12-01,11237
1963-01-01,11431
1963-02-01,11740
1963-03-01,11916
1963-04-01,11943
1963-05-01,12453
1963-06-01,11853
1963-07-01,11962
1963-08-01,12380
1963-09-01,12551
1963-10-01,12593
1963-11-01,12236
1963-12-01,12796
1964-01-01,13963
1964-02-01,12456
1964-03-01,13322
1964-04-01,13127
1964-05-01,14471
1964-06-01,14891
1964-07-01,13675
1964-08-01,13827
1964-09-01,13758
1964-10-01,14092
1964-11-01,14256
1964-12-01,14554
1965-01-01,14448
1965-02-01,14162
1965-03-01,15337
1965-04-01,15120
1965-05-01,14715
1965-06-01,15224
1965-07-01,15514
1965-08-01,15105
1965-09-01,15610
1965-10-01,16070
1965-11-01,16337
1965-12-01,17478
1966-01-01,16584
1966-02-01,18049
1966-03-01,17794
1966-04-01,18273
1966-05-01,18315
1966-06-01,18060
1966-07-01,18891
1966-08-01,17571
1966-09-01,18417
1966-10-01,17999
1966-11-01,17215
1966-12-01,17302
1967-01-01,14722
1967-02-01,15528
1967-03-01,15675
1967-04-01,15794
1967-05-01,16086
1967-06-01,16567
1967-07-01,16859
1967-08-01,17171
1967-09-01,16353
1967-10-01,16420
1967-11-01,16626
1967-12-01,17438
1968-01-01,21721
1968-02-01,20514
1968-03-01,25150
1968-04-01,21275
1968-05-01,16431
1968-06-01,16393
1968-07-01,20712
1968-08-01,20232
1968-09-01,17626
1968-10-01,22145
1968-11-01,18628
1968-12-01,19950
1969-01-01,21458
1969-02-01,23897
1969-03-01,20879
1969-04-01,25435
1969-05-01,21056
1969-06-01,20712
1969-07-01,20977
1969-08-01,21753
1969-09-01,24039
1969-10-01,20341
1969-11-01,20821
1969-12-01,18774
1970-01-01,21120
1970-02-01,19777
1970-03-01,17721
1970-04-01,16669
1970-05-01,17441
1970-06-01,16480
1970-07-01,17829
1970-08-01,17561
1970-09-01,17058
1970-10-01,16155
1970-11-01,17140
1970-12-01,18821
1971-01-01,18221
1971-02-01,19386
1971-03-01,18829
1971-04-01,18429
1971-05-01,17862
1971-06-01,20664
1971-07-01,16626
1971-08-01,18789
1971-09-01,20186
1971-10-01,18113
1971-11-01,19014
1971-12-01,19729
1972-01-01,18436
1972-02-01,20059
1972-03-01,20673
1972-04-01,19988
1972-05-01,22124
1972-06-01,19177
1972-07-01,22223
1972-08-01,21263
1972-09-01,23130
1972-10-01,22362
1972-11-01,22869
1972-12-01,23297
1973-01-01,23476
1973-02-01,24867
1973-03-01,25324
1973-04-01,26259
1973-05-01,25711
1973-06-01,25245
1973-07-01,26594
1973-08-01,26917
1973-09-01,26604
1973-10-01,28752
1973-11-01,28934
