date,value
1948-01-01,14.8395
1948-02-01,14.1094
1948-03-01,14.2864
1948-04-01,15.4032
1948-05-01,16.1145
1948-06-01,16.8245
1948-07-01,16.4214
1948-08-01,15.9395
1948-09-01,15.7576
1948-10-01,16.186
1948-11-01,15.3053
1948-12-01,15.1839
1949-01-01,15.349
1949-02-01,14.7805
1949-03-01,14.91
1949-04-01,14.892
1949-05-01,14.769
1949-06-01,13.9668
1949-07-01,14.762
1949-08-01,15.2878
1949-09-01,15.4867
1949-10-01,15.9005
1949-11-01,16.1084
1949-12-01,16.5381
1950-01-01,16.8757
1950-02-01,17.1928
1950-03-01,17.3465
1950-04-01,17.8453
1950-05-01,18.4345
1950-06-01,18.7368
1950-07-01,17.384
1950-08-01,18.433
1950-09-01,19.0845
1950-10-01,19.8595
1950-11-01,19.7985
1950-12-01,19.7455
1951-01-01,21.2045
1951-02-01,21.9789
1951-03-01,21.6176
1951-04-01,21.8848
1951-05-01,21.9382
1951-06-01,21.5462
1951-07-01,21.9319
1951-08-01,22.8922
1951-09-01,23.4842
1951-10-01,23.3677
1951-11-01,22.7137
1951-12-01,23.4215
1952-01-01,24.1814
1952-02-01,23.6989
1952-03-01,23.81
1952-04-01,23.7319
1952-05-01,23.7329
1952-06-01,24.381
1952-07-01,25.0795
1952-08-01,25.1824
1952-09-01,24.7819
1952-10-01,24.2559
1952-11-01,25.0294
1952-12-01,26.0395
1953-01-01,26.18
1953-02-01,25.8978
1953-03-01,25.9923
1953-04-01,24.7124
1953-05-01,24.8371
1953-06-01,23.9518
1953-07-01,24.2948
1953-08-01,24.3895
1953-09-01,23.269
1953-10-01,23.9667
1953-11-01,24.5006
1953-12-01,24.8273
1954-01-01,25.4615
1954-02-01,26.0184
1954-03-01,26.5717
1954-04-01,27.6152
1954-05-01,28.7345
1954-06-01,28.9609
1954-07-01,30.1267
1954-08-01,30.7295
1954-09-01,31.4548
1954-10-01,32.1767
1954-11-01,33.442
1954-12-01,35.0082
1955-01-01,35.5962
1955-02-01,36.7911
1955-03-01,36.5009
1955-04-01,37.755
1955-05-01,37.6029
1955-06-01,39.875
1955-07-01,42.692
1955-08-01,42.43
1955-09-01,44.3414
1955-10-01,42.1233
1955-11-01,44.947
1955-12-01,45.3905
1956-01-01,44.1452
1956-02-01,44.43
1956-03-01,47.4871
1956-04-01,48.0519
1956-05-01,46.5373
1956-06-01,46.2686
1956-07-01,48.7781
1956-08-01,48.4613
1956-09-01,46.7868
1956-10-01,46.243
1956-11-01,45.7585
1956-12-01,46.4437
1957-01-01,45.425
1957-02-01,43.4663
1957-03-01,44.0262
1957-04-01,45.0471
1957-05-01,46.7795
1957-06-01,47.599
1957-07-01,48.5168
1957-08-01,45.835
1957-09-01,44.0105
1957-10-01,41.2357
1957-11-01,40.3474
1957-12-01,40.3257
1958-01-01,41.1227
1958-02-01,41.2615
1958-03-01,42.1086
1958-04-01,42.3352
1958-05-01,43.7076
1958-06-01,44.7386
1958-07-01,45.975
1958-08-01,47.7014
1958-09-01,48.9743
1958-10-01,50.96
1958-11-01,52.5406
1958-12-01,53.4857
1959-01-01,55.6205
1959-02-01,54.7884
1959-03-01,56.1481
1959-04-01,57.0986
1959-05-01,57.9924
1959-06-01,57.4605
1959-07-01,59.7359
1959-08-01,59.401
1959-09-01,57.0595
1959-10-01,57.0018
1959-11-01,57.2332
1959-12-01,59.055
1960-01-01,58.029
1960-02-01,55.775
1960-03-01,55.0152
1960-04-01,55.7
1960-05-01,55.2152
1960-06-01,57.2632
1960-07-01,55.84
1960-08-01,56.5052
1960-09-01,54.8029
1960-10-01,53.7433
1960-11-01,55.485
1960-12-01,56.8
1961-01-01,59.7262
1961-02-01,62.1726
1961-03-01,64.0891
1961-04-01,65.934
1961-05-01,66.499
1961-06-01,65.575
1961-07-01,65.4385
1961-08-01,67.7896
1961-09-01,67.228
1961-10-01,67.9291
1961-11-01,71.0765
1961-12-01,71.741
1962-01-01,69.0677
1962-02-01,70.2216
1962-03-01,70.2918
1962-04-01,68.0575
1962-05-01,62.9945
1962-06-01,55.6286
1962-07-01,56.9695
1962-08-01,58.5274
1962-09-01,57.9979
1962-10-01,56.1683
1962-11-01,60.0435
1962-12-01,62.6145
1963-01-01,65.0623
1963-02-01,65.9226
1963-03-01,65.6729
1963-04-01,68.759
1963-05-01,70.1386
1963-06-01,70.109
1963-07-01,69.0723
1963-08-01,70.9805
1963-09-01,72.8495
1963-10-01,73.0204
1963-11-01,72.6239
1963-12-01,74.1738
1964-01-01,76.4523
1964-02-01,77.39
1964-03-01,78.7995
1964-04-01,79.9368
1964-05-01,80.7325
1964-06-01,80.2427
1964-07-01,83.2223
1964-08-01,82
1964-09-01,83.4086
1964-10-01,84.8486
1964-11-01,85.4384
1964-12-01,83.96
1965-01-01,86.1165
1965-02-01,86.7468
1965-03-01,86.8339
1965-04-01,87.9667
1965-05-01,89.2795
1965-06-01,85.09
1965-07-01,84.9052
1965-08-01,86.4873
1965-09-01,89.379
1965-10-01,91.3948
1965-11-01,92.146
1965-12-01,91.7345
1966-01-01,93.3162
1966-02-01,92.6826
1966-03-01,88.8778
1966-04-01,91.5955
1966-05-01,86.7819
1966-06-01,86.06
1966-07-01,85.8385
1966-08-01,80.6509
1966-09-01,77.8148
1966-10-01,77.129
1966-11-01,80.9945
1966-12-01,81.3271
1967-01-01,84.4505
1967-02-01,87.3668
1967-03-01,89.4177
1967-04-01,90.9595
1967-05-01,92.5905
1967-06-01,91.4336
1967-07-01,92.989
1967-08-01,94.4939
1967-09-01,95.809
1967-10-01,95.6364
1967-11-01,92.661
1967-12-01,95.3025
1968-01-01,95.0377
1968-02-01,90.7747
1968-03-01,89.0929
1968-04-01,95.697
1968-05-01,97.8655
1968-06-01,100.5853
1968-07-01,100.2953
1968-08-01,98.1139
1968-09-01,101.34
1968-10-01,103.755
1968-11-01,105.4006
1968-12-01,106.4756
1969-01-01,102.0432
1969-02-01,101.4589
1969-03-01,99.3045
1969-04-01,101.2629
1969-05-01,104.6219
1969-06-01,99.1171
1969-07-01,94.7119
1969-08-01,94.1833
1969-09-01,94.5062
1969-10-01,95.5148
1969-11-01,96.2053
1969-12-01,91.12
1970-01-01,90.4014
1970-02-01,87.1642
1970-03-01,88.619
1970-04-01,85.955
1970-05-01,76.0614
1970-06-01,75.5895
1970-07-01,75.7264
1970-08-01,78.061
1970-09-01,82.5838
1970-10-01,84.37
1970-11-01,84.2845
1970-12-01,90.0527
1971-01-01,93.471
1971-02-01,97.1258
1971-03-01,99.6013
1971-04-01,103.04
1971-05-01,101.6425
1971-06-01,99.7136
1971-07-01,99.001
1971-08-01,97.0355
1971-09-01,99.3962
1971-10-01,97.2886
1971-11-01,92.7795
1971-12-01,99.1736
1972-01-01,103.3029
1972-02-01,105.243
1972-03-01,107.7445
1972-04-01,108.8045
1972-05-01,107.7364
1972-06-01,108.0109
1972-07-01,107.2165
1972-08-01,111.0074
1972-09-01,109.391
1972-10-01,109.6505
1972-11-01,115.047
1972-12-01,117.5553
1973-01-01,118.4957
1973-02-01,114.1642
1973-03-01,112.4159
1973-04-01,110.274
1973-05-01,107.2195
1973-06-01,104.8481
1973-07-01,105.8338
1973-08-01,103.7996
1973-09-01,105.6047
1973-10-01,109.9543
1973-11-01,102.1171
1973-12-01,94.8805
1974-01-01,96.4327
1974-02-01,93.4511
1974-03-01,97.4471
1974-04-01,92.4562
1974-05-01,89.7127
1974-06-01,89.7865
1974-07-01,82.8186
1974-08-01,76.025
1974-09-01,68.124
1974-10-01,69.4348
1974-11-01,71.747
1974-12-01,67.0738
1975-01-01,72.5641
1975-02-01,80.0968
1975-03-01,83.803
1975-04-01,84.7232
1975-05-01,90.0962
1975-06-01,92.3967
1975-07-01,92.4873
1975-08-01,85.7138
1975-09-01,84.7129
1975-10-01,88.5783
1975-11-01,90.0653
1975-12-01,88.7005
1976-01-01,96.8595
1976-02-01,100.6605
1976-03-01,101.0835
1976-04-01,101.9281
